date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:07:51	182/182	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2027%20Dec%202019%2002:07:57%20GMT	http://www.klonnewbio.com/robots.txt		(from )
10:07:52	20890/20890	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Dec%202019%2002:07:57%20GMT	http://www.klonnewbio.com/	E:/owen/software/wamp/Apache24/htdocs/backup/klonnewbio/klon/www.klonnewbio.com/index.html	(from )
10:07:52	12990/12990	---M-Z	200	added ('OK')	text/css	etag:%2268405ca-32be-573d3c40c7e00%22	http://www.klonnewbio.com/css/style.css	E:/owen/software/wamp/Apache24/htdocs/backup/klonnewbio/klon/www.klonnewbio.com/css/style.css	(from http://www.klonnewbio.com/)
10:07:52	70294/70294	---M-Z	200	added ('OK')	text/css	etag:%2268405c8-11296-5708629287880%22	http://www.klonnewbio.com/css/animate.min.css	E:/owen/software/wamp/Apache24/htdocs/backup/klonnewbio/klon/www.klonnewbio.com/css/animate.min.css	(from http://www.klonnewbio.com/)
10:07:53	4895/4895	---M-Z	200	added ('OK')	application/javascript	etag:%22689a0bc-131f-5708629287880%22	http://www.klonnewbio.com/js/responsiveslides.min.js	E:/owen/software/wamp/Apache24/htdocs/backup/klonnewbio/klon/www.klonnewbio.com/js/responsiveslides.min.js	(from http://www.klonnewbio.com/)
10:07:53	20890/20890	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Dec%202019%2002:07:58%20GMT	http://www.klonnewbio.com/index.php	E:/owen/software/wamp/Apache24/htdocs/backup/klonnewbio/klon/www.klonnewbio.com/index-2.html	(from http://www.klonnewbio.com/)
10:07:53	21550/21550	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Dec%202019%2002:07:58%20GMT	http://www.klonnewbio.com/en/	E:/owen/software/wamp/Apache24/htdocs/backup/klonnewbio/klon/www.klonnewbio.com/en/index.html	(from http://www.klonnewbio.com/)
10:07:53	10164/10164	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Dec%202019%2002:07:59%20GMT	http://www.klonnewbio.com/about.php	E:/owen/software/wamp/Apache24/htdocs/backup/klonnewbio/klon/www.klonnewbio.com/about.html	(from http://www.klonnewbio.com/)
10:07:54	23437/23437	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Dec%202019%2002:07:59%20GMT	http://www.klonnewbio.com/product.php	E:/owen/software/wamp/Apache24/htdocs/backup/klonnewbio/klon/www.klonnewbio.com/product.html	(from http://www.klonnewbio.com/)
10:07:54	11697/11697	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Dec%202019%2002:07:59%20GMT	http://www.klonnewbio.com/dzfw.php	E:/owen/software/wamp/Apache24/htdocs/backup/klonnewbio/klon/www.klonnewbio.com/dzfw.html	(from http://www.klonnewbio.com/)
10:07:54	15813/15813	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Dec%202019%2002:07:59%20GMT	http://www.klonnewbio.com/news.php	E:/owen/software/wamp/Apache24/htdocs/backup/klonnewbio/klon/www.klonnewbio.com/news.html	(from http://www.klonnewbio.com/)
